,Vynil,Artist,Label,Country,Released Year,Genre,Tracks Num,Media Condition,Sleeve Condition,Seller Rating,For Sale,Have,Want,Price
182,Dog & Butterfly,Heart,Portrait,US,1978,Rock,8,VG+,VG+,100.0,,,,9.99
183,Shebang,Shebang (4),Ivory Tower Records (3),US,1985,Rock,10,NM or M-,NM or M-,100.0,,,,14.99
184,Killers,Iron Maiden,EMI,Japan,1981,Rock,11,VG+,VG,99.9,1661,86396,58620,50.00
185,Patti,Patti Labelle,Philadelphia International Records,US,1985,Funk / Soul,8,NM or M-,NM or M-,100.0,,,,4.99
186,Freddie & The Dreamers,Freddie & The Dreamers,Mercury,US,1965,"Rock, Blues, Pop",12,M,NM or M-,100.0,,,,14.99
187,The Wanderer,Donna Summer,Geffen Records,US,20 Oct 1980,"Electronic, Rock, Funk / Soul",10,NM or M-,NM or M-,100.0,183,3763,5645,5.99
188,Pictures At Eleven,Robert Plant,Swan Song,Germany,1982,Rock,8,VG+,VG+,100.0,1060,20845,2341,9.99
189,Punch The Clock,Elvis Costello And The Attractions*,Columbia,US,1983,"Rock, Pop",13,NM or M-,NM or M-,100.0,877,21431,1925,14.99
190,Ike Cole's Tribute To His Brother Nat,Ike Cole,Dee Gee Records,US,1966,"Jazz, Pop",12,NM or M-,VG,100.0,38,88,7,4.99
191,Aerosmith,Aerosmith,Columbia,US,1975,Rock,8,VG+,VG+,100.0,,,,19.99
192,Firefall,Firefall,Atlantic,US,1976,"Rock, Folk, World, & Country",10,G+,VG,100.0,,,,0.99
193,Destination Victoria Station,Johnny Cash,Columbia Special Products,US,1975,"Folk, World, & Country",12,VG+,VG+,100.0,33,624,101,12.99
194,Hash Wednesday,Int'l Shades,Cass Records,US,2005,Rock,11,M,NM or M-,100.0,23,71,27,11.99
195,Tour De Force,38 Special (2),A&M Records,US,1983,Rock,9,VG,VG,100.0,,,,4.99
