,Vynil,Artist,Label,Country,Released Year,Genre,Tracks Num,Media Condition,Sleeve Condition,Seller Rating,For Sale,Have,Want,Price
1125,Aggregated,Brazen Bull,Wax Vessel,US,Apr 2023,Rock,22,M,M,Item Ships From:,19,203,435,50.00
1126,It's A Jungle In Here,Medeski Martin & Wood,Real Gone Music,US,22 Apr 2023,Jazz,10,M,M,Item Ships From:,70,1501,346,43.00
1127,About U,Muna,RCA,US,2023,"Electronic, Rock, Pop",12,M,M,Item Ships From:,27,1137,1195,98.00
1128,"Dethmask, Pt. 2",Darko (39),Not On Label (Darko (39) Self-released),US,2023,"Electronic, Rock",7,M,M,Item Ships From:,2,139,36,74.00
1129,Aggregated,Brazen Bull,Wax Vessel,US,Apr 2023,Rock,22,M,M,Item Ships From:,19,203,435,50.00
1130,Did You Know That There's A Tunnel Under Ocean Blvd,Lana Del Rey,Polydor,Worldwide,24 Mar 2023,"Rock, Pop",16,M,M,Item Ships From:,913,32206,7318,24.50
1131,Fair Exchange No Robbery,"Nicholas Craven, 

Boldy James",Near Mint,US,14 Mar 2023,Hip Hop,10,M,M,Item Ships From:,34,641,342,72.00
1132,Aggregated,Brazen Bull,Wax Vessel,US,Apr 2023,Rock,22,M,M,Item Ships From:,19,203,435,50.00
1133,$5.00 At The Door,Sublime (2),Surfdog Records,US,21 Apr 2023,Rock,26,M,M,Item Ships From:,105,1221,140,41.00
1134,Aggregated,Brazen Bull,Wax Vessel,US,Apr 2023,Rock,22,M,M,Item Ships From:,19,203,435,50.00
1135,Aggregated,Brazen Bull,Wax Vessel,US,Apr 2023,Rock,22,M,M,Item Ships From:,19,203,435,50.00
1136,TA Box Set #4,Touché Amoré,Rise Records (3),US,22 Apr 2023,Rock,15,M,M,Item Ships From:,1,87,145,69.00
1137,Brothers In Christ,"Nerver (2) / 

Chat Pile",Reptilian Records,US,14 Apr 2023,Rock,4,M,M,Item Ships From:,,,,52.00
1138,Folklore: The Long Pond Studio Sessions,Taylor Swift,Republic Records,Worldwide,22 Apr 2023,"Rock, Pop, Folk, World, & Country",17,M,M,Item Ships From:,184,19446,4406,29.60
1139,The Weakness,Ruston Kelly,Rounder Records,US,07 Apr 2023,"Rock, Folk, World, & Country",12,M,M,Item Ships From:,41,270,8,49.60
1140,12 Bar Blues,Scott Weiland,Rhino Records (2),Worldwide,22 Apr 2023,Rock,15,M,M,Item Ships From:,188,3737,720,19.50
1141,Arthur Verocai,Arthur Verocai,Mr Bongo,US,2023,"Jazz, Latin, Funk / Soul",10,M,M,Item Ships From:,312,10571,13964,48.30
1142,Aggregated,Brazen Bull,Wax Vessel,US,Apr 2023,Rock,22,M,M,Item Ships From:,19,203,435,50.00
1143,Devil Music,portrayal of guilt,Run For Cover Records (2),US,20 Apr 2023,Rock,10,M,M,Item Ships From:,,,,58.00
1144,Exotico,Temples (4),ATO Records,US,14 Apr 2023,Rock,16,M,M,Item Ships From:,125,853,157,38.00
1145,Aethiopes Instrumentals,Preservation,MonDieu Music,US,May 2023,Hip Hop,13,M,M,Item Ships From:,10,81,91,107.00
1146,Infinite Death,Thy Art Is Murder,Wax Vessel,US,2023,Rock,5,M,M,Item Ships From:,29,770,1825,320.00
1147,Shapeshifter,Smile Empty Soul,Enjoy The Ride Records,US,07 Apr 2023,Rock,6,M,M,Item Ships From:,,,,59.60
1148,Fever Dream,Cannons (5),Columbia,US,2023,Electronic,11,M,M,Item Ships From:,,,,170.00
1149,Fair Exchange No Robbery,"Nicholas Craven, 

Boldy James",Near Mint,US,14 Mar 2023,Hip Hop,10,M,M,Item Ships From:,34,641,342,92.20
1150,Welcome To My World,Elvis Presley,RCA Victor,US,Mar 1977,"Pop, Folk, World, & Country",10,VG+,VG+,100.0,489,6159,878,1.99
1151,The Best Of The Alan Parsons Project,The Alan Parsons Project,Arista,US,1983,Rock,12,NM or M-,VG+,100.0,1168,23142,5517,17.99
1152,The Wild Angels,Various,Tower,US,1966,"Rock, Stage & Screen",11,VG,VG+,100.0,242,3623,600,5.99
1153,Storm Windows,John Prine,Asylum Records,US,Jan 2021,"Rock, Folk, World, & Country",10,M,NM or M-,100.0,183,2543,887,21.99
1154,Tom Rush,Tom Rush,Columbia,US,1970,"Rock, Folk, World, & Country",10,VG+,VG+,100.0,301,2381,385,9.99
1155,"Please Help Me, I'm Falling",Hank Locklin,RCA Victor,US,1962,"Folk, World, & Country",12,G+,VG+,100.0,306,922,36,1.99
1156,Edgar Winter's White Trash,Edgar Winter's White Trash,Epic,US,1971,Rock,10,G,VG+,100.0,370,5095,900,1.49
1157,Walls And Bridges,John Lennon,Apple Records,US,26 Sep 1974,Rock,12,VG+,VG+,100.0,1225,24289,11419,13.99
1158,American Stars 'N Bars,Neil Young,Reprise Records,US,04 Jun 1977,Rock,9,VG+,VG,100.0,1066,28307,8128,5.99
1159,Crush,Orchestral Manoeuvres In The Dark,A&M Records,US,1985,"Electronic, Rock",10,NM or M-,VG+,100.0,342,12997,3256,49.99
1160,The Sinatra Family Wish You A Merry Christmas,The Sinatra Family,Reprise Records,US,1969,Pop,10,G,VG+,100.0,225,1537,291,1.99
1161,Live In London,Helen Reddy,Capitol Records,US,1978,"Rock, Pop",28,VG+,VG+,100.0,608,9149,1640,6.99
1162,Bad Bad Boy,Theo Vaness,Prelude Records,US,1979,"Electronic, Funk / Soul",5,G+,G+,100.0,,,,1.49
1163,Long Distance Voyager,The Moody Blues,Threshold (5),US,1981,Rock,10,NM or M-,VG+,100.0,1776,25255,2559,19.99
1164,The Winters Brothers Band,The Winters Brothers Band,ATCO Records,US,1976,Rock,10,NM or M-,VG+,100.0,43,291,16,9.99
1165,The Tunicates,The Tunicates,Sonet,Norway,1986,"Rock, Pop",4,VG+,VG+,100.0,,,,2.99
1166,All My Best,Ricky Nelson (2),Silver Eagle Records,Canada,1985,Rock,22,VG+,NM or M-,100.0,283,2377,42,10.99
1167,Hawks & Doves,Neil Young,Reprise Records,US,03 Nov 1980,Rock,9,NM or M-,VG+,100.0,1121,22485,3345,13.99
1168,Rural Free Delivery,Eric Weissberg And Deliverance,Warner Bros. Records,US,1973,"Folk, World, & Country",11,VG,VG+,100.0,12,382,162,1.99
1169,Raw Holly,Raw (22),Coral,US,1971,Rock,11,VG+,VG,100.0,40,197,77,7.99
1170,"Baby, Now That I've Found You",The Foundations,UNI Records,US,1968,"Rock, Funk / Soul, Pop",11,VG+,VG+,100.0,542,2417,562,12.99
1171,ChangesOneBowie,David Bowie,RCA,US,1978,Rock,11,VG+,VG+,100.0,1311,69940,10221,19.99
1172,Soul & Inspiration,The 5th Dimension*,Bell Records,US,1974,Funk / Soul,10,M,NM or M-,100.0,,,,9.99
1173,Around The World In A Day,Prince And The Revolution,Paisley Park,US,22 Apr 1985,"Rock, Funk / Soul, Pop",9,VG+,VG+,100.0,2192,56181,16160,19.99
1174,More Of The Monkees,The Monkees,Colgems,US,1967,Rock,12,VG,VG+,100.0,1067,27558,7123,7.99
1175,River Of Time,Michael Martin Murphey,Warner Bros. Records,US,1988,"Folk, World, & Country",10,NM or M-,NM or M-,100.0,139,1137,109,5.99
1176,Time Peace: The Rascals' Greatest Hits,The Rascals,Atlantic,US,1968,"Rock, Funk / Soul",14,VG,G+,100.0,665,11690,961,2.99
1177,Trans,Neil Young,Geffen Records,US,1982,"Electronic, Rock",9,VG+,VG+,100.0,,,,19.99
1178,They Only Come Out At Night,The Edgar Winter Group,Epic,US,Nov 1972,Rock,10,G,VG,100.0,821,22502,3959,1.99
1179,Greatest Hits,Melissa Manchester,Arista,US,1983,Rock,10,VG,VG+,100.0,,,,1.09
1180,The Six Wives Of Henry VIII,Rick Wakeman,A&M Records,US,1984,Rock,6,VG+,NM or M-,100.0,1868,23087,6378,39.99
1181,Ashes Are Burning,Renaissance (4),Capitol Records,US,1973,Rock,6,VG+,VG+,100.0,415,7130,4693,8.99
1182,Fresh,Raspberries,Capitol Records,US,1972,"Rock, Pop",10,G+,VG,100.0,,,,1.99
1183,The Best Of Moms And Pigmeat,"Moms Mabley And 

Pigmeat Markham",Chess,US,,Non-Music,13,NM or M-,VG+,100.0,21,166,34,19.99
1184,Mistrial,Lou Reed,RCA Victor,US,26 Jun 1986,Rock,10,NM or M-,NM or M-,100.0,515,7468,1490,22.99
1185,"Mickey Mouse ""This Is My Life""",Various,Disneyland,US,1972,"Children's, Stage & Screen",15,NM or M-,VG+,100.0,24,291,26,5.99
1186,Nantucket Sleighride,Mountain,Windfall Records,US,1971,Rock,9,VG+,VG+,100.0,711,13224,4933,24.99
1187,That's The Song,J. Jocko*,Kama Sutra,US,1975,"Funk / Soul, Pop",11,M,NM or M-,100.0,38,174,125,27.99
1188,10th Anniversary Album,Del Shannon,Sunset Records,UK,1971,Rock,12,VG+,VG+,100.0,283,3116,172,9.99
1189,One More Tomorrow,Unicorn (12),Capitol Records,US,1977,"Rock, Folk, World, & Country",12,NM or M-,VG+,100.0,76,368,171,21.99
1190,Opera Sauvage,Vangelis,Polydor,US,,"Electronic, Stage & Screen",7,VG+,VG+,100.0,898,9812,3621,2.99
1191,Looking Good,Freddie Prinze,Columbia,US,1975,Non-Music,10,VG+,VG,100.0,,,,3.99
1192,Incredible,Gary Puckett And The Union Gap*,Columbia,US,09 Oct 1968,Rock,11,G+,VG+,100.0,,,,1.09
1193,This City,Salvation (27),JTO Records,US,1979,Rock,9,NM or M-,NM or M-,100.0,694,7587,1913,110.00
1194,Nightgames,Ed Calle,Epic,US,1986,Jazz,7,NM or M-,VG+,100.0,52,92,16,6.99
1195,Hung By A Thread,Silent Partner (3),Lucky Boy,US,1979,"Jazz, Rock",8,VG+,VG,100.0,17,102,126,49.99
1196,Carmen McRae Sings Billie Holiday (The Billie Holiday Classics),Carmen McRae,Harmony (4),US,1973,"Jazz, Pop",10,NM or M-,VG+,100.0,16,68,22,3.99
1197,Better Than A Kick In The Teeth,Zini (2),Cabin Records (3),US,1980,Rock,8,VG+,VG,100.0,6,27,66,75.99
1198,Breathing Of Statues,Richard Beirach,Magenta (2),US,1985,Jazz,9,NM or M-,VG+,100.0,84,251,47,14.99
1199,Planet Waves,Bob Dylan,Asylum Records,US,17 Jan 1974,Rock,11,VG+,VG,100.0,1759,34480,9074,9.99
1200,Welcome To The World Of Riot,Riot,Motown,US,1974,Funk / Soul,8,M,VG+,100.0,73,678,541,19.99
1201,Joe Cocker's Greatest Hits,Joe Cocker,A&M Records,US,1977,Rock,12,NM or M-,VG+,100.0,376,8075,650,10.99
1202,No Jacket Required,Phil Collins,Atlantic,US,1985,"Electronic, Pop",10,NM or M-,VG+,100.0,3059,94490,19287,26.99
1203,Quarrymen Rehearse With Stu Sutcliff Spring 1960,"Quarrymen* With 

Stu Sutcliff*",Pre Beatle Records,US,,Rock,16,NM or M-,VG+,100.0,5,100,110,75.99
1204,Tattoo You,The Rolling Stones,Rolling Stones Records,South Korea,1981,Rock,10,VG+,VG+,100.0,2950,92507,27594,59.99
1205,Duke Ellington His Piano And His Orchestra At The Bal Masque,Duke Ellington,Columbia Limited Edition,US,,Jazz,12,VG,NM or M-,100.0,199,1577,278,5.99
1206,Wizard's Convention,Wizard's Convention,RCA Victor,Germany,1976,Rock,16,M,NM or M-,100.0,104,532,209,19.99
1207,The Who,The Who,Polydor,France,,Rock,12,NM or M-,VG+,100.0,,,,25.99
1208,Lionel Richie,Lionel Richie,Motown,US,1982,Funk / Soul,9,VG,VG+,100.0,1777,23250,3463,3.99
1209,The Very Best Of The Imperials,Imperials,DaySpring,US,1981,"Pop, Folk, World, & Country",11,VG,VG+,100.0,45,416,78,3.99
1210,King Of The Delta Blues Singers,Robert Johnson,WaxTime,Europe,2019,"Blues, Folk, World, & Country",18,M,NM or M-,100.0,786,20017,14841,24.99
1211,Slik,Slik,Arista,US,1976,Rock,10,M,NM or M-,100.0,131,846,257,11.99
1212,Electra Glide In Blue (Original Motion Picture Soundtrack),James William Guercio,United Artists Records,US,1973,"Jazz, Rock, Non-Music, Pop, Folk, World, & Country, Stage & Screen",11,VG+,VG,100.0,199,1408,677,4.99
1213,Gaudi,The Alan Parsons Project,Arista,US,1987,Rock,7,NM or M-,VG+,100.0,,,,15.99
1214,Bedtime For Democracy,Dead Kennedys,Alternative Tentacles,US,1986,Rock,21,VG+,VG+,100.0,445,16939,9798,59.99
1215,Please Sunrise,Lionel Hampton,Brunswick,US,1973,"Jazz, Funk / Soul",9,M,NM or M-,100.0,72,328,135,24.99
1216,Open Fire,Y & T,A&M Records,US,1985,Rock,8,NM or M-,VG,100.0,318,5184,719,9.99
1217,True Confessions,White Lie (3),Streetwise (2),US,1980,Rock,11,M,VG+,100.0,613,8493,1997,14.99
1218,Freewheelin,Freewheelin,Force Records (7),US,1979,Rock,11,M,NM or M-,100.0,1940,68348,98375,10.99
1219,Rio Grande,Rio Grande (4),RCA Victor,US,1971,"Rock, Blues, Folk, World, & Country",10,M,NM or M-,100.0,448,17553,8520,19.99
1220,Live Mr. Crowley,Ozzy Osbourne,Jet Records,US,1982,Rock,3,NM or M-,G+,100.0,20,1540,169,18.99
1221,Patrick Gleeson's Star Wars,Patrick Gleeson,Mercury,US,1977,Electronic,7,VG+,VG+,100.0,90,720,385,7.99
1222,Harum Scarum,Elvis Presley,RCA Victor,US,1965,"Rock, Stage & Screen",11,G,G+,100.0,387,4022,1569,5.99
1223,Going For The One,Yes,Atlantic,US,1977,Rock,5,VG+,VG+,100.0,1992,38696,11860,9.99
1224,Jealous Lover,Rainbow,Polydor,US,1981,Rock,4,VG,VG,100.0,85,1135,126,3.99
1225,Stratosfear,Tangerine Dream,Virgin International,US,1981,Electronic,4,NM or M-,VG+,100.0,1188,22571,12460,19.99
1226,The London Bo Diddley Sessions,Bo Diddley,Chess,US,1973,"Rock, Blues",9,VG+,VG+,100.0,157,1645,829,18.99
1227,Bruits Et Temps Analogues,Patrick Vian,Egg,France,1977,"Electronic, Jazz, Rock",9,M,VG+,100.0,43,1097,2526,149.00
1228,Promised Land,Elvis*,RCA,US,Jan 1975,"Rock, Pop",10,G+,VG+,100.0,421,9589,19114,1.49
1229,Mystic Light,Mike Sharpe,Liberty,US,1967,Jazz,11,M,NM or M-,100.0,,,,24.99
1230,20 Greatest Hits,Chuck Berry,Black Tulip,Netherlands,1983,Rock,20,NM or M-,VG,100.0,707,20062,5451,6.99
1231,Welcome Back My Friends To The Show That Never Ends ~ Ladies And Gentlemen,"Emerson, Lake & Palmer",Manticore,US,19 Aug 1974,Rock,18,NM or M-,VG,100.0,45,964,78,15.99
1232,Noah,Noah (19),RCA Victor,US,1970,Rock,10,M,M,100.0,28,851,1473,16.99
1233,No Goodbyes,Daryl Hall & John Oates,Atlantic,US,Mar 1977,"Rock, Pop",10,NM or M-,VG+,100.0,248,2979,255,6.99
1234,Synchronicity,The Police,A&M Records,US,07 Jun 1983,Rock,10,VG,VG+,100.0,2645,124371,74151,15.99
1235,"Singer Presents Elvis Singing ""Flaming Star"" And Others",Elvis Presley,RCA Victor,US,Nov 1968,"Rock, Pop",9,VG,VG,100.0,1030,12621,1788,3.99
1236,Rick Wakeman's Criminal Record,Rick Wakeman,A&M Records,US,1977,Rock,6,NM or M-,VG+,100.0,593,5431,1174,7.99
1237,It Happened At The World's Fair,Elvis Presley,RCA Victor,US,1963,"Rock, Pop, Stage & Screen",10,F,G,100.0,311,4104,1543,1.49
1238,Too Much Too Soon,New York Dolls,Mercury,US,,Rock,10,VG+,VG+,100.0,415,12830,6628,15.99
1239,Trilogy,"Emerson, Lake & Palmer",Cotillion,US,1972,Rock,9,VG+,VG+,100.0,2349,43464,18923,9.99
1240,Welcome To My World,Elvis Presley,RCA Victor,US,Mar 1977,"Pop, Folk, World, & Country",10,VG+,VG+,100.0,489,6159,878,1.99
1241,The Best Of The Alan Parsons Project,The Alan Parsons Project,Arista,US,1983,Rock,12,NM or M-,VG+,100.0,1168,23142,5517,17.99
1242,The Wild Angels,Various,Tower,US,1966,"Rock, Stage & Screen",11,VG,VG+,100.0,242,3623,600,5.99
1243,Storm Windows,John Prine,Asylum Records,US,Jan 2021,"Rock, Folk, World, & Country",10,M,NM or M-,100.0,183,2543,887,21.99
1244,Tom Rush,Tom Rush,Columbia,US,1970,"Rock, Folk, World, & Country",10,VG+,VG+,100.0,301,2381,385,9.99
1245,"Please Help Me, I'm Falling",Hank Locklin,RCA Victor,US,1962,"Folk, World, & Country",12,G+,VG+,100.0,306,922,36,1.99
1246,Edgar Winter's White Trash,Edgar Winter's White Trash,Epic,US,1971,Rock,10,G,VG+,100.0,370,5095,900,1.49
1247,Walls And Bridges,John Lennon,Apple Records,US,26 Sep 1974,Rock,12,VG+,VG+,100.0,1225,24289,11419,13.99
1248,American Stars 'N Bars,Neil Young,Reprise Records,US,04 Jun 1977,Rock,9,VG+,VG,100.0,1066,28307,8128,5.99
1249,Crush,Orchestral Manoeuvres In The Dark,A&M Records,US,1985,"Electronic, Rock",10,NM or M-,VG+,100.0,342,12997,3256,49.99
1250,Rapture,Johnny Mathis,Columbia,US,1962,Pop,12,VG,VG,100.0,656,13669,9768,1.99
1251,"Chattanooga Shoe Shine Boy / Boston ""My Home Town""",Freddy Cannon,Swan,US,Jan 1960,Rock,2,G+,,100.0,89,347,54,0.49
1252,Bossa Nova Baby / Here Comes That Girl Again,Tony Ray,Imperial,US,1963,"Jazz, Pop",2,VG,,100.0,4,3,5,8.99
1253,Frou-Frou / The Hips,Franck Pourcel And His French Strings,Capitol Records,US,1956,Classical,2,G,,100.0,8,9,1,0.49
1254,Tonight: In Person,The Limeliters,RCA Victor,US,1961,"Folk, World, & Country",10,VG,VG+,100.0,187,1283,28,0.99
1255,Knowing When To Leave,Sue Raney,Imperial,US,1968,"Funk / Soul, Pop",2,VG+,,100.0,26,38,27,2.59
1256,Blues Image,Blues Image,ATCO Records,US,1969,Rock,9,VG+,VG+,100.0,,,,15.99
1257,Themes For Young Lovers,Percy Faith And His Orchestra*,Columbia,US,1963,"Pop, Folk, World, & Country",12,VG,VG,100.0,186,1153,98,1.99
1258,Spring!,The Lettermen,Capitol Records,US,1967,"Jazz, Pop",11,VG+,VG,100.0,98,910,103,1.99
1259,On The Rag,The Sterilles,Screaming Skull,US,1987,Rock,5,M,NM or M-,100.0,,,,61.99
1260,He Cares,Southeast Inspirational Choir,Sweet Rain,US,1990,Funk / Soul,9,M,NM or M-,100.0,1,30,174,22.99
1261,Sincerely,The Forester Sisters,Warner Bros. Records,US,1988,Rock,10,M,NM or M-,100.0,,,,4.99
1262,Marty Robbins' Greatest Hits Vol. III,Marty Robbins,Columbia,US,1971,"Folk, World, & Country",11,M,NM or M-,100.0,201,1014,37,10.99
1263,Material Girl,Madonna,Sire,US,1985,"Electronic, Pop",2,NM or M-,NM or M-,100.0,830,15736,6579,19.99
1264,Outsideinside,Outsideinside*,Hell Yeah,US,1993,Rock,8,NM or M-,NM or M-,100.0,279,7134,6728,3.99
1265,Somewhere Over The Rainbow,Willie Nelson,CBS,Mexico,1981,"Folk, World, & Country",10,NM or M-,VG+,100.0,442,7118,344,26.99
1266,Greatest Hits Volume Two,Anne Murray,Capitol Records,Canada,1989,"Rock, Pop, Folk, World, & Country",10,M,NM or M-,100.0,915,10977,1061,10.99
1267,The Best Of The Limeliters,The Limeliters,RCA,US,1964,"Folk, World, & Country",12,VG,NM or M-,100.0,26,199,18,1.50
1268,The First Nashville Guitar Quartet,Chet Atkins,RCA,US,1979,"Classical, Folk, World, & Country",11,M,VG+,100.0,75,525,47,14.99
1269,Superpickers,Chet Atkins,RCA Victor,US,1973,"Folk, World, & Country",10,M,VG+,100.0,116,718,131,8.99
1270,Mumbo Jumbo,The Tail Gators,Wrestler Records,US,1986,"Rock, Blues",11,M,NM or M-,100.0,,,,11.99
1271,Legacy,Ramsey Lewis,Columbia,US,1978,Jazz,9,M,NM or M-,100.0,,,,24.99
1272,Asia Minor,Kokomo (2),Felsted,US,1961,Rock,2,VG,,100.0,,,,0.99
1273,Astral Voyage,Kitaro,Geffen Records,US,1985,Electronic,10,NM or M-,VG+,100.0,25,402,88,6.99
1274,Tracy,The Cuff Links,Decca,US,1969,"Rock, Pop",11,M,NM or M-,100.0,2317,83412,42937,19.99
1275,One Wish,Hiroshima (3),Epic,US,1985,"Electronic, Funk / Soul",2,NM or M-,VG,100.0,,,,6.99
1276,Last Date,Floyd Cramer,RCA Victor,US,1960,Rock,2,G,,100.0,504,4459,3114,0.29
1277,I Know A Place,Petula Clark,Warner Bros. Records,US,1965,Pop,2,G+,,100.0,156,960,452,0.25
1278,See The Funny Little Clown,Bobby Goldsboro,United Artists Records,US,1964,Rock,2,G+,,100.0,73,230,30,0.05
1279,Li' Per Li' / Sempre Con Te,Lia Grifi,Supraphon,Czechoslovakia,1959,Pop,2,NM or M-,,100.0,1,8,1,9.99
1280,Je / Gonna Build A Mountain,Julius La Rosa,Cadence (2),US,1964,"Pop, Folk, World, & Country, Stage & Screen",2,VG,,100.0,18,15,1,2.99
1281,Baby Take Me In Your Arms,Jefferson (3),Janus Records,US,1969,Pop,2,VG,,100.0,290,474,44,1.99
1282,Little Devil,"Neil Sedaka With 

Stan Applebaum And His Orchestra",RCA Victor,US,1961,Rock,2,G,,100.0,271,882,170,0.99
1283,Just Webb Pierce!,Webb Pierce,Hilltop,US,1965,"Folk, World, & Country",12,G+,VG,100.0,59,274,13,0.99
1284,Love Me Again,Rita Coolidge,A&M Records,US,May 1978,"Rock, Pop, Folk, World, & Country",10,NM or M-,VG,100.0,975,4364,203,3.99
1285,I've Had It / Be Mine,The Bell Notes,Time Records (3),US,1958,"Rock, Pop",2,F,,100.0,295,840,129,0.45
1286,Teenagers' Mother (Are You Right?) / Rip It Up,Bill Haley And His Comets,Decca,US,1956,Rock,2,F,G+,100.0,148,848,168,1.50
1287,One Tear / The Thin Man,Eddie Kendricks,Tamla,US,1974,Funk / Soul,2,NM or M-,,100.0,125,175,30,2.39
1288,A Partridge Family Christmas Card,The Partridge Family,Bell Records,US,1971,"Rock, Pop",11,VG+,NM or M-,100.0,302,3080,232,5.99
1289,You Are In My System / Now I Am Electric,The System,Mirage (2),US,1982,Electronic,2,G+,G+,100.0,216,3560,9469,1.99
1290,Vocalese,The Manhattan Transfer,Atlantic,US,1985,Jazz,11,VG,VG+,100.0,828,4438,552,2.99
1291,Discotheque,The Dovells,Wyncote,US,1964,"Rock, Pop, Folk, World, & Country",10,NM or M-,NM or M-,100.0,1456,12739,2014,9.99
1292,Muskrat / Lucille / Don't Blame Me / Walk Right Back,The Everly Brothers*,Warner Bros. Records,US,1961,"Rock, Pop",4,G,,100.0,102,326,34,0.15
1293,San Antonio Rose,"Willie Nelson & 

Ray Price",Columbia,US,1980,"Folk, World, & Country",11,G+,VG+,100.0,299,4350,325,0.99
1294,Are You Ready?,Pacific Gas & Electric,Columbia,US,22 Apr 1970,"Rock, Funk / Soul, Blues",2,VG,,100.0,630,2731,401,1.99
1295,Last Kiss,J. Frank Wilson And The Cavaliers,Josie,US,1964,"Funk / Soul, Pop",2,VG,,100.0,231,3232,940,0.79
1296,Look At The Mess You've Made,"Satellite High & 

Madd Caesar",The Everything But Rap & Country Recording Company,US,01 Mar 2012,Hip Hop,14,NM or M-,NM or M-,100.0,3,24,3,9.99
1297,On The Road With Loretta And The Coal Miners,"Loretta* And 

The Coal Miners","Loretta Lynn Enterprises, Inc.",US,1976,"Folk, World, & Country",11,NM or M-,VG,100.0,12,158,37,8.99
1298,A World Without Love / If I Were You,Peter And Gordon*,Capitol Records,US,1964,Rock,2,G,,100.0,86,536,24,0.25
1299,A Tribute To Hank Williams,Slim Boyd,Coronet Records,US,1962,"Folk, World, & Country",10,NM or M-,NM or M-,100.0,80,499,13,9.99
1300,Castles In The Sand,Little Stevie Wonder*,Tamla,US,Jan 1964,"Funk / Soul, Pop",2,VG,,99.6,65,1351,197,13.00
1301,Indian Name,The Shy Strangers,Pravda Records,US,1986,Rock,6,NM or M-,VG+,99.6,152,2412,2682,5.88
1302,Stars On Long Play,"Stars On* / 

Long Tall Ernie And The Shakers",Radio Records (5),US,1981,"Electronic, Rock, Funk / Soul",64,NM or M-,VG+,99.6,248,2584,50,19.62
1303,Ayer Y Hoy,Esther Borja,Kubaney,US,,"Latin, Folk, World, & Country",10,VG,VG,99.6,56,499,466,2.70
1304,Midnight Breakdown,Shotgun (2),MCA Records,US,1979,Funk / Soul,2,NM or M-,,99.6,33,60,16,18.65
1305,Hip-Hop Music,Remedy (3),Not On Label,US,2001,Hip Hop,4,VG+,,99.6,,,,2.70
1306,Fanny (Original Cast Recording),"Ezio Pinza, 

Walter Slezak",RCA Victor,US,1955,Stage & Screen,21,VG+,VG,99.6,92,318,20,5.68
1307,Together,Progression,Sorted Records,US,1996,Electronic,2,VG+,,99.6,59,3151,2956,2.70
1308,Work It Out,Shiva,FFRR,UK,24 Apr 1995,Electronic,4,VG+,VG,99.6,1528,18048,6225,10.49
1309,Do You Like It....Do You Want It....,Puff Daddy,Bad Boy Entertainment,US,1999,Hip Hop,4,NM or M-,,99.6,69,167,22,6.87
1310,Live At Stubb's,Khruangbin & Friends*,Dead Oceans,US,19 May 2023,"Rock, Funk / Soul",9,M,M,100.0,139,1046,117,20.65
1311,Heart Of My Soul,Phyllis Rhodes,Boni Records,Netherlands,1986,"Electronic, Rock",2,VG+,VG+,99.6,696,10960,4982,5.73
1312,Do You Want Me,Salt 'N' Pepa,Next Plateau Records Inc.,US,1990,Hip Hop,4,VG+,,99.6,854,14959,10092,5.29
1313,I'm Leaving It (All) Up To You,Donny And Marie Osmond*,MGM Records,US,1974,"Rock, Pop",2,VG,,99.6,792,2034,47,5.86
1314,Bring Me The News Boy,The Newsboys,Sam Records,US,1980,Electronic,2,VG+,,99.6,202,235,95,5.52
1315,Who R U?,Outsiderz 4 Life,Blackground Entertainment,US,2000,Electronic,4,NM or M-,VG+,99.6,191,209,53,6.08
1316,BG Thang,Mel-Low,Rush Associated Labels,US,1995,Hip Hop,8,NM or M-,VG+,99.6,34,95,40,19.39
1317,Eve 21,Pablo Gargano,Eve Records,UK,1998,Electronic,3,VG,VG+,99.6,12,168,76,16.64
1318,To The Rhythm / The Latest Drama,"Pepstar Featuring 

Pre / 

Junior Vasquez Featuring 

Kevin Padgett",Pagoda,US,1998,Electronic,3,NM or M-,,99.6,52,119,36,6.58
